mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-505222,CdInBr3,20,Cd1 In1 Br3,4.14038678,9.58047134,15.51440356,90.0,90.0,90.0,ortho,Pnma,0.0,-2.8275302260000013,-1.1015255183333341,0.008280995999998,False,5.039741075713652,2.2208,False,615.4076256288415,,
mp-1016828,CdIrO3,5,Cd1 Ir1 O3,3.953165,3.953165,3.953165,90.0,90.0,90.0,cubic,Pm-3m,1.0671558,-5.760263306000001,-0.8317978289999991,0.46319841499999903,False,9.478265062669584,0.0,False,61.77813947332076,,
mp-2647004,CdIrO3,30,Cd1 Ir1 O3,5.462063,5.462062977140506,15.028055,90.0,90.0,120.00000619471452,trig,R-3,2.8208124,-6.115731398666667,-1.1872659216666661,0.107730322333332,False,9.048323853594393,0.0,False,388.28158042161505,,
mp-1080000,CdNCl3,10,Cd1 N1 Cl3,7.511502454461824,7.511502454461824,7.402407,90.0,90.0,94.29612324088457,ortho,Cmcm,3.9996529,-9.709328372749999,-0.17111736199999802,0.5935919470000021,False,1.85615401720497,2.0259,False,416.4900116707763,,
mp-1080587,CdNCl3,10,Cd1 N1 Cl3,7.429165,5.8736809999999995,7.7028773072278,72.70934989086207,90.0,90.0,mono,P2_1/m,0.0005718,-9.57895180275,-0.040740791999998006,0.7239685170000011,False,2.408788186067089,0.8155,False,320.93714705180184,,
mp-1105591,CdNCl3,20,Cd1 N1 Cl3,3.775054,9.826511,16.867689,90.0,90.0,90.0,ortho,Pnma,8.0043463,-9.53736279925,0.0008482115000020001,0.765557520500001,False,2.470987211789244,0.0,False,625.7172069528243,,
mp-726169,CdNF3,20,Cd1 N1 F3,6.118864999999999,6.384258,8.450394,90.0,90.0,90.0,ortho,Pnma,0.0,-3.802580933999999,-0.7960359664999991,0.7851368685000001,False,3.690461932814561,0.0,False,330.1096797682404,,
mp-1206343,CdNi3C,5,Cd1 Ni3 C1,3.866162,3.866162,3.866162,90.0,90.0,90.0,cubic,Pm-3m,0.0009653999999990001,-5.478348936,0.0274682085,0.027468208500001003,False,8.634877406888368,0.0,False,57.78832993499817,,
mp-1017554,CdNi3N,5,Cd1 Ni3 N1,3.82153146,3.82154162,3.82153349,90.0,90.0,90.0,cubic,Pm-3m,1.1000000000000001e-05,-13.136453223999998,-0.10067525574999901,0.0,True,9.000316018979303,0.0,False,55.8102159363317,"{'voigt': 182.751, 'reuss': 182.751, 'vrh': 182.751}","{'voigt': 69.829, 'reuss': 69.234, 'vrh': 69.531}"
mp-1016882,CdOsO3,5,Cd1 Os1 O3,3.942935,3.942935,3.942935,90.0,90.0,90.0,cubic,Pm-3m,0.034405899999999004,-6.441248956,-1.034996828999999,0.35957308519999404,False,9.498405606100683,0.0,False,61.29977114342224,"{'voigt': 192.236, 'reuss': 192.236, 'vrh': 192.236}","{'voigt': 27.293, 'reuss': 16.927, 'vrh': 22.11}"
mp-5328,CdPS3,10,Cd1 P1 S3,6.253369407095604,6.253369838009483,7.0848005096184705,98.18604280979399,98.18605262071631,119.9979750112384,mono,C2/m,0.0,-11.169029075000001,-0.526616825282738,0.0,True,3.459377513709595,1.756199999999999,False,230.0018155238127,,
mp-9330,CdPS3,10,Cd1 P1 S3,7.640597266972337,7.640596798849732,7.640597503171515,48.311747988306806,48.31174226482739,48.31173570024584,trig,R-3,0.0,-11.168225917000001,-0.525813667282737,0.000803158000007,False,3.489075664701975,1.772699999999999,False,228.04409683199663,"{'voigt': 212594205.627, 'reuss': 1.094, 'vrh': 106297103.36}","{'voigt': 1139303033.136, 'reuss': 4.462, 'vrh': 569651518.799}"
mp-1079559,CdPSe3,10,Cd1 P1 Se3,7.973598430355033,7.973598429424054,7.97359780353028,48.6026436454699,48.602643687402995,48.6026444749079,trig,R-3,0.0,-3.954065545,-0.581421915334821,0.0,True,4.825860987294309,1.0486,False,261.691952841095,,
mp-685257,CdPbO3,40,Cd1 Pb1 O3,9.085826745827244,9.085836674819712,9.085830952518872,110.51172589563295,109.8982517491642,108.01415580284775,ortho,Ibca,0.0,-5.27843203125,-1.375123976249999,0.0,True,8.462073206254711,0.0,False,577.0968158397645,,
mp-1016875,CdRhO3,5,Cd1 Rh1 O3,3.951587,3.951587,3.951587,90.0,90.0,90.0,cubic,Pm-3m,1.2863278,-5.479369706,-0.8457294909999991,0.424103885,False,7.086137227330518,0.0,False,61.70418835153962,,
mp-1016849,CdRuO3,5,Cd1 Ru1 O3,3.928223,3.928223,3.928223,90.0,90.0,90.0,cubic,Pm-3m,2.1207008,-6.094784726,-1.0791255770000001,0.33393210100000004,False,7.1630476902911,0.0,False,60.61615746211363,,
mp-18634,CdSO3,30,Cd1 S1 O3,8.335829749612513,8.335829749612513,8.335829817920528,109.10807618547899,109.10807618547899,109.1080820289121,trig,R-3,0.0004948,-5.617649814666667,-1.629199260166666,0.09906163908333301,False,4.244667362884329,3.0449,False,451.7822968281786,,
mp-556680,CdSO3,40,Cd1 S1 O3,12.82371,5.653769,8.753289224087196,79.78013993450485,90.0,90.0,mono,P2_1/c,5.27e-05,-5.6204807809999995,-1.632030226499999,0.09623067275000001,False,4.093872104016965,3.2188,True,624.5645595014557,,
mp-8516,CdSO3,20,Cd1 S1 O3,9.025715,4.573479,7.283293351582442,88.92985652425467,90.0,90.0,mono,P2_1/c,0.003597099999999,-5.620434524,-1.631983969499999,0.096276929749999,False,4.253057560808945,3.334699999999999,False,300.59403038203004,,
mp-559203,CdSeO3,40,Cd1 Se1 O3,12.93395545,5.760079370423445,8.662010624186387,78.5515790544974,90.0,90.0,mono,P2_1/c,0.0,-5.268916143250001,-1.408955206718751,0.005526024750001001,False,5.027554029995879,3.4047,True,632.4855475554016,,
mp-9186,CdSeO3,20,Cd1 Se1 O3,5.32817807,6.31758539,8.12471485,90.0,90.0,90.0,ortho,Pnma,0.0,-5.274442168000002,-1.4144812314687512,0.0,True,5.81352277375989,3.0904,False,273.4878134372338,,
mp-1016879,CdSiO3,5,Cd1 Si1 O3,3.61992,3.61992,3.61992,90.0,90.0,90.0,cubic,Pm-3m,0.0007266,-6.4069444959999995,-2.161102249,0.374506266500001,False,6.598592705861918,0.6505999999999991,False,47.43478301350349,"{'voigt': 228.217, 'reuss': 228.217, 'vrh': 228.217}","{'voigt': 122.007, 'reuss': 85.214, 'vrh': 103.61}"
